,Bovespa,Dow Jones,S&P 500,Selic,dolar_Compra,dolar_Venda,high,low,open,volume,close,adjclose,Fechamento,mdmv7,mdmv21
2007-01-31,44642.0,12621.6904296875,1438.239990234375,12.93,2.1239,2.1247,13.098956108093262,12.800912857055664,12.840652465820312,8065031,12.997953414916992,8.060205459594727,12.997953414916992,13.036272185189384,12.842860085623604
2007-02-01,44815.0,12673.6796875,1445.93994140625,12.93,2.1085,2.1093,13.196646690368652,12.913507461547852,13.113858222961426,6630067,12.997953414916992,8.060205459594727,13.113858222961426,13.029176167079381,12.844594773792085
2007-02-02,44998.0,12653.490234375,1448.3900146484375,12.93,2.0974,2.0982,13.138694763183594,12.94827938079834,12.94827938079834,12508831,13.113858222961426,8.132081985473633,13.12048053741455,13.045733996800013,12.848142941792807
2007-02-05,45286.0,12661.740234375,1446.989990234375,12.93,2.0956,2.0964,13.216517448425293,13.039346694946289,13.080741882324219,5913792,13.12048053741455,8.136183738708496,13.039346694946289,13.04218578338623,12.85791996547154
2007-02-06,45352.0,12666.3095703125,1448.0,12.93,2.0825,2.0833,13.1602201461792,13.006231307983398,13.122137069702148,7221929,13.039346694946289,8.0858736038208,13.032724380493164,13.01971435546875,12.887487638564338
2007-02-07,44588.0,12666.8701171875,1450.02001953125,12.93,2.0844,2.0852,13.163532257080078,12.94827938079834,13.079086303710938,9454096,13.032724380493164,8.081757545471191,13.122137069702148,13.040057046072823,12.903966722034273
2007-02-08,44892.0,12637.6298828125,1448.31005859375,12.93,2.0943,2.0951,13.122137069702148,12.787667274475098,12.997953414916992,9405781,13.122137069702148,8.137213706970215,12.807537078857422,13.060636247907366,12.937634468078613
2007-02-09,44284.0,12580.830078125,1438.06005859375,12.93,2.1025,2.1033,13.143662452697754,12.733025550842285,13.12876033782959,8906925,12.807537078857422,7.9421234130859375,12.666793823242188,13.03343391418457,12.956084705534435
2007-02-12,43935.0,12552.5498046875,1433.3699951171875,12.93,2.1132,2.114,12.915163040161133,12.620431900024414,12.819127082824707,11114934,12.666793823242188,7.854849338531494,12.650237083435059,12.98612540108817,12.958450090317498
2007-02-13,45197.0,12654.849609375,1444.260009765625,12.93,2.108,2.1088,12.815815925598145,12.50452709197998,12.746272087097168,16591474,12.650237083435059,7.844573974609375,12.9399995803833,12.91989380972726,12.957661674136208
