,Bovespa,Dow Jones,Nasdaq,Selic,dolar_Compra,dolar_Venda,high,low,open,volume,close,adjclose,alvo,mdmv7,mdmv21
2007-01-31,44642.0,12621.6904296875,2463.929931640625,12.93,2.1239,2.1247,3.2904140949249268,3.160660982131958,3.160660982131958,1130143,3.253817081451416,2.472064971923828,3.2737789154052734,3.161611659186227,3.150046291805449
2007-02-01,44815.0,12673.6796875,2468.3798828125,12.93,2.1085,2.1093,3.327012062072754,3.259805917739868,3.327012062072754,293055,3.2737789154052734,2.487231731414795,3.2464981079101562,3.1825242042541504,3.156383434931437
2007-02-02,44998.0,12653.490234375,2475.8798828125,12.93,2.0974,2.0982,3.2604711055755615,3.2225430011749268,3.2604711055755615,126239,3.2464981079101562,2.4665050506591797,3.227200984954834,3.1900337764195035,3.155718054090227
2007-02-05,45286.0,12661.740234375,2470.60009765625,12.93,2.0956,2.0964,3.307049036026001,3.2145590782165527,3.29374098777771,892692,3.227200984954834,2.4518442153930664,3.227200984954834,3.194786616734096,3.1541337626320973
2007-02-06,45352.0,12666.3095703125,2471.489990234375,12.93,2.0825,2.0833,3.2471630573272705,3.227200984954834,3.227200984954834,1562964,3.227200984954834,2.4518442153930664,3.3562889099121094,3.2118968963623047,3.1560349010285877
2007-02-07,44588.0,12666.8701171875,2490.5,12.93,2.0844,2.0852,3.3582849502563477,3.227200984954834,3.227200984954834,922749,3.3562889099121094,2.549917459487915,3.4268219470977783,3.2445965835026334,3.1669347967420305
2007-02-08,44892.0,12637.6298828125,2488.669921875,12.93,2.0943,2.0951,3.531290054321289,3.327012062072754,3.327012062072754,1498341,3.4268219470977783,2.6035048961639404,3.4268219470977783,3.287372418812343,3.1854710351853144
2007-02-09,44284.0,12580.830078125,2459.820068359375,12.93,2.1025,2.1033,3.593172073364258,3.39355206489563,3.526632070541382,1369096,3.4268219470977783,2.6035048961639404,3.323683977127075,3.3120873996189664,3.2013139384133473
2007-02-12,43935.0,12552.5498046875,2450.3798828125,12.93,2.1132,2.114,3.4268219470977783,3.261137008666992,3.4268219470977783,372706,3.323683977127075,2.525146007537842,3.4268219470977783,3.319216694150652,3.212245509738014
2007-02-13,45197.0,12654.849609375,2459.8798828125,12.93,2.108,2.1088,3.460092067718506,3.327012062072754,3.460092067718506,272015,3.4268219470977783,2.6035048961639404,3.4268219470977783,3.344977242606027,3.229672693070911
2007-02-14,45996.0,12741.8603515625,2488.3798828125,12.93,2.0992,2.1,3.460092067718506,3.327012062072754,3.460092067718506,272015,3.4268219470977783,2.6035048961639404,3.6530590057373047,3.3734945229121616,3.2470998764038086
2007-02-15,45955.0,12765.009765625,2497.10009765625,12.93,2.0888,2.0896,3.726253032684326,3.5000159740448,3.5000159740448,1720763,3.6530590057373047,2.775386333465576,3.6929829120635986,3.434331383023943,3.2753002530052546
